,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
3115,Alex Carey,2020,,Delhi Daredevils,"2,40,00,000",Wicket Keeper,Left Handed Bat,NA,Australia,Alex Carey,2020-Delhi Daredevils,NA
2837,Nicholas Pooran,2020,Retain,Kings XI Punjab,"4,20,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,West Indies,Nicholas Pooran,2020-Kings XI Punjab,NA
2352,Quinton de Kock,2020,Retain,Mumbai Indians,"2,80,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,South Africa,Quinton de Kock,2020-Mumbai Indians,NA
690,Saurabh Tiwary,2020,,Mumbai Indians,"50,00,000",Batsman,Left Handed Bat,NA,India,Saurabh Tiwary,2020-Mumbai Indians,NA
2653,Ishan Kishan,2020,Retain,Mumbai Indians,"6,20,00,000",Batsman,Left Handed Bat,NA,India,Ishan Kishan,2020-Mumbai Indians,NA
3136,Yashasvi Jaiswal,2020,,Rajasthan Royals,"2,40,00,000",All-Rounder,Left Handed Bat,NA,India,Yashasvi Jaiswal,2020-Rajasthan Royals,NA
3142,Anuj Rawat,2020,,Rajasthan Royals,"80,00,000",Wicket Keeper,Left Handed Bat,NA,India,Anuj Rawat,2020-Rajasthan Royals,NA
14,Parthiv Patel,2020,Retain,Royal Challengers Bangalore,"1,70,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,India,Parthiv Patel,2020-Royal Challengers Bangalore,NA
909,Shreevats Goswami,2020,Retain,Sunrisers Hyderabad,"1,00,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,India,Shreevats Goswami,2020-Sunrisers Hyderabad,NA
2697,Rishabh Pant,2021,,Delhi Capitals,"15,00,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,India,Rishabh Pant,2021-Delhi Capitals,NA
2836,Nicholas Pooran,2021,,Punjab Kings,"4,20,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,West Indies,Nicholas Pooran,2021-Punjab Kings,NA
2351,Quinton de Kock,2021,,Mumbai Indians,"2,80,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,South Africa,Quinton de Kock,2021-Mumbai Indians,NA
689,Saurabh Tiwary,2021,,Mumbai Indians,"50,00,000",Batsman,Left Handed Bat,NA,India,Saurabh Tiwary,2021-Mumbai Indians,NA
2652,Ishan Kishan,2021,,Mumbai Indians,"6,20,00,000",Batsman,Left Handed Bat,NA,India,Ishan Kishan,2021-Mumbai Indians,NA
2953,Evin Lewis,2021,Replace,Rajasthan Royals,NA,Batsman,Left Handed Bat,NA,West Indies,Evin Lewis,2021-Rajasthan Royals,NA
3135,Yashasvi Jaiswal,2021,,Rajasthan Royals,"2,40,00,000",All-Rounder,Left Handed Bat,NA,India,Yashasvi Jaiswal,2021-Rajasthan Royals,NA
3141,Anuj Rawat,2021,,Rajasthan Royals,"80,00,000",Wicket Keeper,Left Handed Bat,NA,India,Anuj Rawat,2021-Rajasthan Royals,NA
908,Shreevats Goswami,2021,,Sunrisers Hyderabad,"1,00,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,India,Shreevats Goswami,2021-Sunrisers Hyderabad,NA
2696,Rishabh Pant,2022,,Delhi Capitals,"16,00,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,India,Rishabh Pant,2022-Delhi Capitals,NA
2952,Evin Lewis,2022,,Lucknow Super Giants,"2,00,00,000",Batsman,Left Handed Bat,NA,West Indies,Evin Lewis,2022-Lucknow Super Giants,NA
2350,Quinton de Kock,2022,,Lucknow Super Giants,"6,75,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,South Africa,Quinton de Kock,2022-Lucknow Super Giants,NA
2651,Ishan Kishan,2022,,Mumbai Indians,"15,25,00,000",Batsman,Left Handed Bat,NA,India,Ishan Kishan,2022-Mumbai Indians,NA
3134,Yashasvi Jaiswal,2022,,Rajasthan Royals,"4,00,00,000",All-Rounder,Left Handed Bat,NA,India,Yashasvi Jaiswal,2022-Rajasthan Royals,NA
3140,Anuj Rawat,2022,,Royal Challengers Bangalore,"3,40,00,000",Wicket Keeper,Left Handed Bat,NA,India,Anuj Rawat,2022-Royal Challengers Bangalore,NA
2835,Nicholas Pooran,2022,,Sunrisers Hyderabad,"10,75,00,000",Wicketkeeper Batsman,Left Handed Bat,NA,West Indies,Nicholas Pooran,2022-Sunrisers Hyderabad,NA
1185,RP Bose,2009,,Kings XI Punjab,"9,82,400",NA,NA,NA,India,RP Bose,2009-Kings XI Punjab,NA
1687,Kuthethur Vasudevdevadas,2011,,Chennai Super Kings,"30,00,000",NA,NA,NA,India,Kuthethur Vasudevdevadas,2011-Chennai Super Kings,NA
1686,Kuthethur Vasudevdevadas,2012,,Chennai Super Kings,"30,00,000",NA,NA,NA,India,Kuthethur Vasudevdevadas,2012-Chennai Super Kings,NA
2404,( Amit Mishra ),2014,,Rajasthan Royals,"10,00,000",NA,NA,NA,India,( Amit Mishra ),2014-Rajasthan Royals,NA
2665,A Mishra,2016,,Gujarat Lions,"10,00,000",NA,NA,NA,India,A Mishra,2016-Gujarat Lions,NA
3133,Prince Balwant Rai Singh,2020,,Mumbai Indians,"20,00,000",All-Rounder,NA,NA,India,Prince Balwant Rai Singh,2020-Mumbai Indians,NA
3289,Rahmanullah Gurbaz,2022,Replacement,Gujarat Titans,"50,00,000",Wicketkeeper batter,Right Handed Bat,NA,Afghanistan,Rahmanullah Gurbaz,2022-Gujarat Titans,NA
3283,Aryan Juyal,2022,,Mumbai Indians,"20,00,000",WK Batter,Right Handed Bat,NA,India,Aryan Juyal,2022-Mumbai Indians,NA
3250,Suyash Prabhudessai,2022,,Royal Challengers Bangalore,"30,00,000",Batsman,Right Handed Bat,NA,India,Suyash Prabhudessai,2022-Royal Challengers Bangalore,NA
3216,Finn Allen,2021,Pull,Royal Challengers Bangalore,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,New Zealand,Finn Allen,2021-Royal Challengers Bangalore,NA
3215,Finn Allen,2022,,Royal Challengers Bangalore,"80,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,New Zealand,Finn Allen,2022-Royal Challengers Bangalore,NA
5,Anirudha Srikkanth,2008,,Chennai Super Kings,"12,00,000",Batsman,Right Handed Bat,NA,India,Anirudha Srikkanth,2008-Chennai Super Kings,NA
1013,Halhadar Das,2008,,Deccan Chargers,"8,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Halhadar Das,2008-Deccan Chargers,NA
474,Dinesh Karthik,2008,,Delhi Daredevils,"2,10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2008-Delhi Daredevils,NA
303,Pankaj Dharmani,2008,,Kings XI Punjab,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Pankaj Dharmani,2008-Kings XI Punjab,NA
325,Sahil Kukreja,2008,,Kings XI Punjab,"8,00,000",Batsman,Right Handed Bat,NA,India,Sahil Kukreja,2008-Kings XI Punjab,NA
365,Ramesh Powar,2008,,Kings XI Punjab,"68,00,000",Bowler,Right Handed Bat,NA,India,Ramesh Powar,2008-Kings XI Punjab,NA
369,Nitin Saini,2008,,Kings XI Punjab,"4,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nitin Saini,2008-Kings XI Punjab,NA
843,Wriddhiman Saha,2008,,Kolkata Knight Riders,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2008-Kolkata Knight Riders,NA
667,Luke Ronchi,2008,,Mumbai Indians,"12,04,800",Wicketkeeper Batsman,Right Handed Bat,NA,New Zealand,Luke Ronchi,2008-Mumbai Indians,NA
671,Pinal Shah,2008,,Mumbai Indians,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Pinal Shah,2008-Mumbai Indians,NA
687,Yogesh Takawale,2008,,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Yogesh Takawale,2008-Mumbai Indians,NA
179,Kamran Akmal,2008,,Rajasthan Royals,"60,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,Pakistan,Kamran Akmal,2008-Rajasthan Royals,NA
159,Swapnil Asnodkar,2008,,Rajasthan Royals,"12,00,000",Batsman,Right Handed Bat,NA,India,Swapnil Asnodkar,2008-Rajasthan Royals,NA
223,Mahesh Rawat,2008,,Rajasthan Royals,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Mahesh Rawat,2008-Rajasthan Royals,NA
970,Devraj Patil,2008,,Royal Challengers Bangalore,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Devraj Patil,2008-Royal Challengers Bangalore,NA
1012,Halhadar Das,2009,,Deccan Chargers,"8,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Halhadar Das,2009-Deccan Chargers,NA
1404,Abhinav Kumar,2009,,Deccan Chargers,"6,00,000",Batsman,Right Handed Bat,NA,India,Abhinav Kumar,2009-Deccan Chargers,NA
1414,Manvinder Bisla,2009,,Deccan Chargers,"12,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2009-Deccan Chargers,NA
473,Dinesh Karthik,2009,,Delhi Daredevils,"2,10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2009-Delhi Daredevils,NA
324,Sahil Kukreja,2009,,Kings XI Punjab,"8,00,000",Batsman,Right Handed Bat,NA,India,Sahil Kukreja,2009-Kings XI Punjab,NA
364,Ramesh Powar,2009,,Kings XI Punjab,"68,00,000",Bowler,Right Handed Bat,NA,India,Ramesh Powar,2009-Kings XI Punjab,NA
842,Wriddhiman Saha,2009,,Kolkata Knight Riders,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2009-Kolkata Knight Riders,NA
666,Luke Ronchi,2009,,Mumbai Indians,"14,73,600",Wicketkeeper Batsman,Right Handed Bat,NA,New Zealand,Luke Ronchi,2009-Mumbai Indians,NA
670,Pinal Shah,2009,,Mumbai Indians,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Pinal Shah,2009-Mumbai Indians,NA
686,Yogesh Takawale,2009,,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Yogesh Takawale,2009-Mumbai Indians,NA
158,Swapnil Asnodkar,2009,,Rajasthan Royals,"12,00,000",Batsman,Right Handed Bat,NA,India,Swapnil Asnodkar,2009-Rajasthan Royals,NA
222,Mahesh Rawat,2009,,Rajasthan Royals,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Mahesh Rawat,2009-Rajasthan Royals,NA
1152,Naman Ojha,2009,,Rajasthan Royals,"12,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2009-Rajasthan Royals,NA
969,Devraj Patil,2009,,Royal Challengers Bangalore,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Devraj Patil,2009-Royal Challengers Bangalore,NA
1332,Chidhambaram Gautam,2009,,Royal Challengers Bangalore,"6,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2009-Royal Challengers Bangalore,NA
1378,Rk Sabharwal,2009,,Royal Challengers Bangalore,"4,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Rk Sabharwal,2009-Royal Challengers Bangalore,NA
1413,Manvinder Bisla,2010,,Deccan Chargers,"12,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2010-Deccan Chargers,NA
472,Dinesh Karthik,2010,,Delhi Daredevils,"2,10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2010-Delhi Daredevils,NA
363,Ramesh Powar,2010,,Kings XI Punjab,"68,00,000",Bowler,Right Handed Bat,NA,India,Ramesh Powar,2010-Kings XI Punjab,NA
1412,Manvinder Bisla,2010,,Kings XI Punjab,"10,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2010-Kings XI Punjab,NA
841,Wriddhiman Saha,2010,,Kolkata Knight Riders,"12,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2010-Kolkata Knight Riders,NA
1530,Chandan Madan,2010,,Mumbai Indians,"6,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Chandan Madan,2010-Mumbai Indians,NA
1584,Aditya Tare,2010,,Mumbai Indians,"6,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2010-Mumbai Indians,NA
157,Swapnil Asnodkar,2010,,Rajasthan Royals,"12,00,000",Batsman,Right Handed Bat,NA,India,Swapnil Asnodkar,2010-Rajasthan Royals,NA
1151,Naman Ojha,2010,,Rajasthan Royals,"12,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2010-Rajasthan Royals,NA
1478,Amit paunikar,2010,,Rajasthan Royals,"8,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Amit paunikar,2010-Rajasthan Royals,NA
4,Anirudha Srikkanth,2011,,Chennai Super Kings,"30,00,000",Batsman,Right Handed Bat,NA,India,Anirudha Srikkanth,2011-Chennai Super Kings,NA
840,Wriddhiman Saha,2011,,Chennai Super Kings,"46,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2011-Chennai Super Kings,NA
1927,Kedar Devdhar,2011,,Deccan Chargers,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Kedar Devdhar,2011-Deccan Chargers,NA
1150,Naman Ojha,2011,,Delhi Daredevils,"1,24,20,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2011-Delhi Daredevils,NA
368,Nitin Saini,2011,,Kings XI Punjab,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nitin Saini,2011-Kings XI Punjab,NA
471,Dinesh Karthik,2011,,Kings XI Punjab,"4,14,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2011-Kings XI Punjab,NA
362,Ramesh Powar,2011,,Kochi Tuskers Kerala,"82,80,000",Bowler,Right Handed Bat,NA,India,Ramesh Powar,2011-Kochi Tuskers Kerala,NA
1529,Chandan Madan,2011,,Kochi Tuskers Kerala,"30,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Chandan Madan,2011-Kochi Tuskers Kerala,NA
1984,Michael Klinger,2011,,Kochi Tuskers Kerala,"34,50,000",Batsman,Right Handed Bat,NA,Australia,Michael Klinger,2011-Kochi Tuskers Kerala,NA
1411,Manvinder Bisla,2011,,Kolkata Knight Riders,"30,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2011-Kolkata Knight Riders,NA
1837,Brad Haddin,2011,,Kolkata Knight Riders,"1,49,50,000",Wicketkeeper batsman,Right Handed Bat,NA,Australia,Brad Haddin,2011-Kolkata Knight Riders,NA
1583,Aditya Tare,2011,,Mumbai Indians,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2011-Mumbai Indians,NA
1946,Eklavya Dwivedi,2011,,Pune Warriors India,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2011-Pune Warriors India,NA
156,Swapnil Asnodkar,2011,,Rajasthan Royals,"30,00,000",Batsman,Right Handed Bat,NA,India,Swapnil Asnodkar,2011-Rajasthan Royals,NA
669,Pinal Shah,2011,,Rajasthan Royals,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Pinal Shah,2011-Rajasthan Royals,NA
1477,Amit paunikar,2011,,Rajasthan Royals,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Amit paunikar,2011-Rajasthan Royals,NA
1331,Chidhambaram Gautam,2011,,Royal Challengers Bangalore,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2011-Royal Challengers Bangalore,NA
1892,Mayank Agarwal,2011,,Royal Challengers Bangalore,"10,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2011-Royal Challengers Bangalore,NA
3,Anirudha Srikkanth,2012,,Chennai Super Kings,"30,00,000",Batsman,Right Handed Bat,NA,India,Anirudha Srikkanth,2012-Chennai Super Kings,NA
839,Wriddhiman Saha,2012,,Chennai Super Kings,"46,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2012-Chennai Super Kings,NA
1926,Kedar Devdhar,2012,,Deccan Chargers,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Kedar Devdhar,2012-Deccan Chargers,NA
2167,Biplab Samantray,2012,,Deccan Chargers,"8,00,000",Allrounder,Right Handed Bat,NA,India,Biplab Samantray,2012-Deccan Chargers,NA
1149,Naman Ojha,2012,,Delhi Daredevils,"1,24,20,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2012-Delhi Daredevils,NA
2046,Puneet Bisht,2012,,Delhi Daredevils,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Puneet Bisht,2012-Delhi Daredevils,NA
361,Ramesh Powar,2012,,Kings XI Punjab,"73,60,000",Bowler,Right Handed Bat,NA,India,Ramesh Powar,2012-Kings XI Punjab,NA
367,Nitin Saini,2012,,Kings XI Punjab,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nitin Saini,2012-Kings XI Punjab,NA
1410,Manvinder Bisla,2012,,Kolkata Knight Riders,"30,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2012-Kolkata Knight Riders,NA
2109,Sanju Samson,2012,,Kolkata Knight Riders,"8,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2012-Kolkata Knight Riders,NA
1836,Brad Haddin,2012,,Kolkata Knight Riders,"1,63,37,750",Wicketkeeper batsman,Right Handed Bat,NA,Australia,Brad Haddin,2012-Kolkata Knight Riders,NA
470,Dinesh Karthik,2012,Transfer,Mumbai Indians,"4,14,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2012-Mumbai Indians,NA
1582,Aditya Tare,2012,,Mumbai Indians,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2012-Mumbai Indians,NA
2075,Apoorv Wankhade,2012,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,NA,India,Apoorv Wankhade,2012-Mumbai Indians,NA
1945,Eklavya Dwivedi,2012,,Pune Warriors India,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2012-Pune Warriors India,NA
668,Pinal Shah,2012,,Rajasthan Royals,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Pinal Shah,2012-Rajasthan Royals,NA
1476,Amit paunikar,2012,,Rajasthan Royals,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Amit paunikar,2012-Rajasthan Royals,NA
1330,Chidhambaram Gautam,2012,,Royal Challengers Bangalore,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2012-Royal Challengers Bangalore,NA
1891,Mayank Agarwal,2012,,Royal Challengers Bangalore,"10,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2012-Royal Challengers Bangalore,NA
2,Anirudha Srikkanth,2013,,Chennai Super Kings,"30,00,000",Batsman,Right Handed Bat,NA,India,Anirudha Srikkanth,2013-Chennai Super Kings,NA
838,Wriddhiman Saha,2013,,Chennai Super Kings,"46,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2013-Chennai Super Kings,NA
1148,Naman Ojha,2013,,Delhi Daredevils,"1,24,20,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2013-Delhi Daredevils,NA
1329,Chidhambaram Gautam,2013,,Delhi Daredevils,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2013-Delhi Daredevils,NA
366,Nitin Saini,2013,,Kings XI Punjab,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nitin Saini,2013-Kings XI Punjab,NA
1409,Manvinder Bisla,2013,,Kolkata Knight Riders,"30,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2013-Kolkata Knight Riders,NA
1835,Brad Haddin,2013,,Kolkata Knight Riders,"1,73,12,750",Wicketkeeper batsman,Right Handed Bat,NA,Australia,Brad Haddin,2013-Kolkata Knight Riders,NA
469,Dinesh Karthik,2013,,Mumbai Indians,"4,14,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2013-Mumbai Indians,NA
1581,Aditya Tare,2013,,Mumbai Indians,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2013-Mumbai Indians,NA
221,Mahesh Rawat,2013,,Pune Warriors India,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Mahesh Rawat,2013-Pune Warriors India,NA
1944,Eklavya Dwivedi,2013,,Pune Warriors India,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2013-Pune Warriors India,NA
2108,Sanju Samson,2013,,Rajasthan Royals,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2013-Rajasthan Royals,NA
2242,Pravin Tambe,2013,,Rajasthan Royals,"10,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2013-Rajasthan Royals,NA
1890,Mayank Agarwal,2013,,Royal Challengers Bangalore,"10,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2013-Royal Challengers Bangalore,NA
2331,Lokesh Rahul,2013,,Royal Challengers Bangalore,"10,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2013-Royal Challengers Bangalore,NA
2345,Sheldon Jackson,2013,,Royal Challengers Bangalore,"10,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2013-Royal Challengers Bangalore,NA
2166,Biplab Samantray,2013,,Sunrisers Hyderabad,"10,00,000",Allrounder,Right Handed Bat,NA,India,Biplab Samantray,2013-Sunrisers Hyderabad,NA
468,Dinesh Karthik,2014,,Delhi Daredevils,"12,50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2014-Delhi Daredevils,NA
1889,Mayank Agarwal,2014,,Delhi Daredevils,"1,60,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2014-Delhi Daredevils,NA
837,Wriddhiman Saha,2014,,Kings XI Punjab,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2014-Kings XI Punjab,NA
1408,Manvinder Bisla,2014,,Kolkata Knight Riders,"60,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2014-Kolkata Knight Riders,NA
1328,Chidhambaram Gautam,2014,,Mumbai Indians,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2014-Mumbai Indians,NA
1580,Aditya Tare,2014,,Mumbai Indians,"1,60,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2014-Mumbai Indians,NA
2074,Apoorv Wankhade,2014,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,NA,India,Apoorv Wankhade,2014-Mumbai Indians,NA
2107,Sanju Samson,2014,,Rajasthan Royals,"4,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2014-Rajasthan Royals,NA
2241,Pravin Tambe,2014,,Rajasthan Royals,"10,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2014-Rajasthan Royals,NA
2409,Ankush Bains,2014,,Rajasthan Royals,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Ankush Bains,2014-Rajasthan Royals,NA
685,Yogesh Takawale,2014,,Royal Challengers Bangalore,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Yogesh Takawale,2014-Royal Challengers Bangalore,NA
1,Anirudha Srikkanth,2014,,Sunrisers Hyderabad,"20,00,000",Batsman,Right Handed Bat,NA,India,Anirudha Srikkanth,2014-Sunrisers Hyderabad,NA
1147,Naman Ojha,2014,,Sunrisers Hyderabad,"50,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2014-Sunrisers Hyderabad,NA
1475,Amit paunikar,2014,,Sunrisers Hyderabad,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Amit paunikar,2014-Sunrisers Hyderabad,NA
2330,Lokesh Rahul,2014,,Sunrisers Hyderabad,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2014-Sunrisers Hyderabad,NA
1943,Eklavya Dwivedi,2015,,Chennai Super Kings,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Eklavya Dwivedi,2015-Chennai Super Kings,NA
2408,Ankush Bains,2015,,Chennai Super Kings,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Ankush Bains,2015-Chennai Super Kings,NA
1327,Chidhambaram Gautam,2015,,Delhi Daredevils,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Chidhambaram Gautam,2015-Delhi Daredevils,NA
1888,Mayank Agarwal,2015,,Delhi Daredevils,"1,60,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2015-Delhi Daredevils,NA
2536,Srikar Bharat,2015,,Delhi Daredevils,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Srikar Bharat,2015-Delhi Daredevils,NA
836,Wriddhiman Saha,2015,,Kings XI Punjab,"2,20,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Wriddhiman Saha,2015-Kings XI Punjab,NA
2522,Nikhil Naik,2015,,Kings XI Punjab,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Nikhil Naik,2015-Kings XI Punjab,NA
2344,Sheldon Jackson,2015,,Kolkata Knight Riders,"15,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Sheldon Jackson,2015-Kolkata Knight Riders,NA
1579,Aditya Tare,2015,,Mumbai Indians,"1,60,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Aditya Tare,2015-Mumbai Indians,NA
2106,Sanju Samson,2015,,Rajasthan Royals,"4,00,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Sanju Samson,2015-Rajasthan Royals,NA
2240,Pravin Tambe,2015,,Rajasthan Royals,"10,00,000",Bowler,Right Handed Bat,NA,India,Pravin Tambe,2015-Rajasthan Royals,NA
467,Dinesh Karthik,2015,,Royal Challengers Bangalore,"10,50,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Dinesh Karthik,2015-Royal Challengers Bangalore,NA
684,Yogesh Takawale,2015,,Royal Challengers Bangalore,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,NA,India,Yogesh Takawale,2015-Royal Challengers Bangalore,NA
1407,Manvinder Bisla,2015,,Royal Challengers Bangalore,"60,00,000",wicketkeeper Batsman,Right Handed Bat,NA,India,Manvinder Bisla,2015-Royal Challengers Bangalore,NA
1146,Naman Ojha,2015,,Sunrisers Hyderabad,"50,00,000",Wicketkeeper batsman,Right Handed Bat,NA,India,Naman Ojha,2015-Sunrisers Hyderabad,NA
2329,Lokesh Rahul,2015,,Sunrisers Hyderabad,"1,00,00,000",Batsman,Right Handed Bat,NA,India,Lokesh Rahul,2015-Sunrisers Hyderabad,NA
1887,Mayank Agarwal,2016,,Delhi Daredevils,"1,60,00,000",Batsman,Right Handed Bat,NA,India,Mayank Agarwal,2016-Delhi Daredevils,NA
