Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
DM Bravo,Darren Bravo,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
DR Sams,Daniel Sams,Bowling Allrounder, Right Handed Bat ,Left,Fast,Pace,Australia,1
E Dwivedi,Eklavya Dwivedi,WK-Batsman, Right Handed Bat ,0,0,0,India,0
E Lewis,Evin Lewis,Batsman, Left Handed Bat ,0,0,0,West Indies,1
E Morgan,Eoin Morgan,Batsman, Left Handed Bat ,Right ,Medium,Pace,England,1
F Allen,Fabian Allen,Bowling Allrounder, Right Handed Bat ,Left,Off Break,Spin,West Indies,1
F Behardien,Farhaan Behardien,Batting Allrounder, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
F duPlessis,Francois Du Plessis,Batsman, Right Handed Bat ,Left,Leg Break,Spin,South Africa,1
F Farooqi,Fazalhaq Farooqi,Bowler, Left Handed Bat ,Left,Fast,Pace,Afghanistan,1
F Fazal,Faiz Fazal,Batsman, Left Handed Bat ,Right ,Medium,Pace,India,0
G Bailey,George Bailey,Batsman, Right Handed Bat ,Right ,Medium,Pace,Australia,1
G Gambhir,Gautam Gambhir,Batsman, Left Handed Bat ,Left,Leg Break,Spin,India,0
G Garton,George Garton,Bowling Allrounder, Left Handed Bat,Left,Fast,Pace,England,1
G Maxwell,Glenn Maxwell,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,Australia,1
G Philips,Glenn Phillips,WK-Batsman, Right Handed Bat ,Right ,Off Break,Spin,New Zealand,1
G Singh,Gurkeerat Singh,Bowler, Right Handed Bat ,Right ,Off Break,Spin,India,0
G Smith,Graeme Smith,Batsman, Right Handed Bat ,Right ,Off Break,Spin,South Africa,1
H Amla,Hashim Amla,Batsman, Right Handed Bat ,Right ,Both,0,South Africa,1
H Brar,Harpreet Brar,Batting Allrounder, Left Handed Bat,Left,Off Break,Spin,India,0
H Gibbs,Herschelle Gibbs,Batsman, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
H Gurney,Harry Gurney,Bowler, Right Handed Bat ,Left,Fast,Pace,England,1
H Klaasen,Heinrich klaasen,WK-Batsman, Right Handed Bat ,0,0,0,South Africa,1
H Pandya,Hardik Pandya,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
H Patel,Harshal Patel,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
H Singh,Harbhajan Singh,Bowler, Right Handed Bat ,Right ,Off Break,Spin,India,0
H Singh-2,Harmeet Singh,Bowler,0,Left,Off Break,Spin,India,0
H Vihari,Hanuma Vihari,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
H Viljoen,Hardus Viljoen,Bowler, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
Harmeet Singh,Harmeet Singh Bansal,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
Harpreet Singh,Harpreet Singh,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
Harshit Rana,Harshit Rana,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
HE van der Dussen,Rassie van der Dussen,Batsman, Right Handed Bat ,Right ,Leg Break,Spin,South Africa,1
HR Shokeen,Hrithik Shokeen,Bowler, Right Handed Bat ,Right ,Off Break,Spin,India,0
I Jaggi,Ishank Jaggi,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
I Kishan,Ishan Kishan,WK-Batsman, Left Handed Bat ,0,0,0,India,0
I Malhotra,Ishan Malhotra,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
I Pathan,Irfan Pathan,Bowling Allrounder, Left Handed Bat ,Left,Medium,Pace,India,0
I Porel,Ishan Porel,Bowler,0,Right ,Medium,Pace,India,0
I Sodhi,Ish Sodhi,Bowler, Right Handed Bat ,Left,Leg Break,Spin,New Zealand,1
I Udana,Isuru Udana,Bowling Allrounder, Right Handed Bat ,Left,Medium,Pace,SRI LANKA,1
J Archer,Jofra Archer,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,England,1
J Bairstow,Jonny Bairstow,WK-Batsman, Right Handed Bat ,0,0,0,England,1
J Behrendorff,Jason Behrendorff,Bowler,0,Left,Fast,Pace,Australia,1
J Botha,Johan Botha,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,South Africa,1
J Buttler,Jos Buttler,WK-Batsman, Right Handed Bat ,0,0,0,England,1
J Dala,Junior Dala,Bowler,0,Right ,Medium,Pace,South Africa,1
J Denly,Joe Denly,Batting Allrounder, Right Handed Bat ,Left,Leg Break,Spin,England,1
J Duminy,JP Duminy,Batting Allrounder, Left Handed Bat ,Right ,Off Break,Spin,South Africa,1
J Faulkner,James Faulkner,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,Australia,1
J Franklin,James Franklin,Bowling Allrounder, Left Handed Bat ,Left,Medium,Pace,New Zealand,1
