Name,Player
Shaun Marsh,S Marsh
Shivam Mavi,S Mavi
Sudhesan Midhun,S Midhun
Shrikant Mundhe,S Mundhe
Shahbaz Nadeem,S Nadeem
Sunil Narine,S Narine
Sumit Narwal,S Narwal
Shaun Pollock,S Pollock
Suyash Prabhudessai,S Prabhudesai
Suresh Raina,S Raina
Sachin Rana,S Rana
Suraj Randiv,S Randiv
Sherfane Rutherford,S Rutherford
Sanju Samson,S Samson
Sachithra Senanayake,S Senanayake
Shoaib Shaikh,S Shaikh
Sandeep Sharma,S Sharma
Sunny Singh,S Singh
Steven Smith,S Smith
Sunny Sohal,S Sohal
Shanthakumaran Sreesanth,S Sreesanth
Sridharan Sriram,S Sriram
Shalabh Srivastava,S Srivastava
Scott Styris,S Styris
Shaun Tait,S Tait
Sohail Tanvir,S Tanvir
Sachin Tendulkar,S Tendulkar
Shardul Thakur,S Thakur
Saurabh Tiwary,S Tiwary
Siddharth Trivedi,S Trivedi
Sudeep Tyagi,S Tyagi
Vidyut Sivaramakrishnan,S Vidyut
Shrikant Wagh,S Wagh
Shane Warne,S Warne
Sandeep Warrier,S Warrier
Shane Watson,S Watson
SuryaKumar Yadav,S Yadav
Shahbaz Ahamad,Shahbaz Ahmed
Shashank Singh,Shashank Singh
Shivam Mavi,Shivam Mavi
Shivam Sharma,Shivam Sharma
Shubman Gill,Shubman Gill
Simarjeet Singh,Simarjeet Singh
Sandeep Warrier,SS Warrier
Swapnil Singh,Swapnil Singh
Tom Banton,T Banton
Tejas Baroka,T Baroka
Travis Birt,T Birt
Trent Boult,T Boult
Tom Curran,T Curran
Tim David,T David
Tillakaratne Dilshan,T Dilshan
Travis Head,T Head
Tyron Henderson,T Henderson
Taruwar Kohli,T Kohli
Tymal Mills,T Mills
T Natarajan,T Natarajan
Tim Paine,T Paine
Tim Seifert,T Seifert
Tabraiz Shamsi,T Shamsi
Tim Southee,T Southee
Tanmay Srivastava,T Srivastava
T Stubbs,T Stubbs
TP Sudhindra,T Sudhindra
Tirumalasetti Suman,T Suman
Tatenda Taibu,T Taibu
T Tushara,T Thushara
Tilak Varma,Tilak Varma
Tushar Deshpande,TU Deshpande
Udit Birla,U Birla
Unmukt Chand,U Chand
Umar Gul,U Gul
Uday Kaul,U Kaul
Usman Khawaja,U Khawaja
Umran Malik,U Malik
Umesh Yadav,U Yadav
Varun Aaron,V Aaron
Vaibhav Arora,V Arora
Varun Chakravarti,V Chakravarthy
Venkatesh Iyer,V Iyer
Virat Kohli,V Kohli
VVS Laxman,V Laxman
Yo Mahesh,V Mahesh
Vikramjeet Malik,V Malik
Veer Pratap Singh,V PratapSingh
Virender Sehwag,V Sehwag
Vijay Shankar,V Shankar
Virat Singh,V Singh
Vishnu Vinod,V Vinod
Vikrant Yeligati,V Yeligati
Vijay Zol,V Zol
Vikram Singh,VRV Singh
Wanindu Hasaranga,W Hasaranga
Wasim Jaffer,W Jaffer
Wilkin Mota,W Mota
Wayne Parnell,W Parnell
Wriddhiman Saha,W Saha
Washington Sundar,W Sundar
Chaminda Vaas,W Vaas
Thalaivan Sargunam,X ThalaivanSargunam
Yusuf Abdulla,Y Abdulla
Yuzvendra Chahal,Y Chahal
Yash Dayal,Y Dayal
Gnaneswara Rao,Y GnaneswaraRao
Younis Khan,Y Khan
Yogesh Nagar,Y Nagar
Yusuf Pathan,Y Pathan
Yuvraj Singh,Y Singh
Yogesh Takawale,Y Takawale
Venugopal Rao,Y VenugopalRao
Yashpal Singh,Yashpal Singh
Yashasvi Jaiswal,YBK Jaiswal
Zaheer Khan,Z Khan
